document_name,link_to_source,document_type,judge_author,court_type,country,state,court,order_type,case_types,ai_type,ai_use_case_for_filings,prohibited,disclose_ai_use_w_each_filing,disclose_ai_tool_used,disclose_how_ai_tool_used,identify_sections_drafted_with_ai,disclose_process_used_to_check_accuracy,certify_accuracy_non_use_on_notice,certify_accuracy_non_use_w_each_filing,certify_accuracy_if_planning_to_use_ai,certify_no_unauthorized_disclosure,certify_accuracy_w_each_filing_if_ai_used,just_a_warning,references_other_procedural_rules,maintain_ai_prompt_records,proprietary_info_nondisclosure_req,disclose_ai_generated_evidence,notice_to_opposing_parties_ai_evidence,ai_to_record_in_courtroom,applies_to,other_reqs_notes,date_yyyy_mm,court_original,court_abbreviation,judge_title,judge_name_clean,judge_last_name
Pleadings Using Generative Artificial Intelligence,https://www.okwb.uscourts.gov/sites/okwb/files/GenOrder23-01.pdf,General Order,Chief Judge Sarah A. Hall; Judge Janice D. Loyd,Federal,US,Oklahoma,US Bankruptcy Court Western District of Oklahoma,Court Level,Bankruptcy,Gen AI,Draft,,Yes,checked,,checked,,,No,,,checked,,FRBP 9011,,checked,,,,Any Parties,Must disclose AI tool used,2023-07,US Bankruptcy Court Western District of Oklahoma,Bankr. W.D. Okla.,Chief Judge,Sarah A. Hall,Hall
Individual Practices in Civil Cases,https://www.nysd.uscourts.gov/sites/default/files/practice_documents/AS%20Subramanian%20Civil%20Individual%20Practices.pdf,Standing Order,Judge Arun Subramanian,Federal,US,New York,US DC Southern District Of New York,Judge Level,Civil,Gen AI,Research,,No,,,,,,No,,,,checked,No,,,,,,Attorneys,"Uses term ""ChatGPT and Other Tools"", not AI or Gen AI",2023-07,US DC Southern District Of New York,S.D. N.Y.,Judge,Arun Subramanian,Subramanian
OAH Policy 23-12,https://oah.idaho.gov/wp-content/uploads/2024/03/Policies-Manual-12.31.23.pdf,Policy/Guidelines,Chief Administrative Hearing Officer Bryan Nickels,State,US,Idaho,Office of Administrative Hearings,State Level,Administrative,Gen AI,Draft,,Yes,,,,,,Court may require at discretion,,,,,No,,,,,,Hearing Officers,OAH Policy enabling hearing officers to request AI Use disclosure statements from parties,2023-07,Office of Administrative Hearings,Office of Administrative Hearings,Chief Administrative Hearing Officer,Bryan Nickels,Nickels
Standing Order for Civil Cases Before Magistrate Judge Peter H. Kang,https://www.cand.uscourts.gov/wp-content/uploads/judges/kang-phk/Civil-Standing-Order-PHK-001.pdf,Standing Order,Magistrate Judge Peter H. Kang,Federal,US,California,US DC Northern District of California,Judge Level,Civil,"Any AI, excluding standard research tools","Draft,Create",,Yes,,,checked,,,No,,,,,FRCP 11,checked,checked,,checked,,"Pro Se Litigants,Attorneys",References ABA Resolution 604,2023-07,US DC Northern District of California,N.D. Cal.,Magistrate Judge,Peter H. Kang,Kang
Standing Order For All Cases Filed Before the Administrative Law Section,https://hrc.illinois.gov/content/dam/soi/en/web/hrc/documents/standing-order-for-all-cases-filed-before-the-als.pdf,Standing Order,Chief Judge Brian Weinthal,State,US,Illinois,"Human Rights Commission, Administrative Law Section",Court Level,Administrative,Gen AI,Draft,,No,,,,,,No,,,,checked,No,,,,,,"Pro Se Litigants,Attorneys",,2023-08,"Human Rights Commission, Administrative Law Section","Human Rights Commission, Administrative Law Section",Chief Judge,Brian Weinthal,Weinthal
"Cowan v Board of Immigration Appeals, et al. AI Order",https://dockets.justia.com/docket/arizona/azdce/4:2023cv00327/1341070,Court Order,Judge James A. Soto,Federal,US,Arizona,US DC District of Arizona,Case Level,Civil,Gen AI,Prepare,,Yes,checked,,checked,,,No,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys",,2023-09,US DC District of Arizona,D. Ariz.,Judge,James A. Soto,Soto
Disclosure and Certification Requirements for Generative Artificial Intelligence,https://www.oked.uscourts.gov/sites/oked/files/AI%20Guidelines%20JAR%209.27.23.pdf,Standing Order,Magistrate Judge Jason A. Robertson,Federal,US,Oklahoma,US DC Eastern District of Oklahoma,Judge Level,"Civil,Criminal",Gen AI,Prepare,,Yes,checked,,,,,No,,,checked,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",Must disclose AI tool used,2023-09,US DC Eastern District of Oklahoma,E.D. Okla.,Magistrate Judge,Jason A. Robertson,Robertson
Disclosure and Certification Requirements - Generative Artificial Intelligence,https://www.okwd.uscourts.gov/sites/okwd/files/AI_Guidelines_JudgePalk.pdf,Standing Order,Judge Scott Palk,Federal,US,Oklahoma,US DC Western District of Oklahoma,Judge Level,Civil,Gen AI,Prepare,,Yes,checked,,,,,No,,,checked,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",Must disclose AI tool used,2023-09,US DC Western District of Oklahoma,W.D. Okla.,Judge,Scott Palk,Palk
General Pretrial and Trial Procedures,https://www.njd.uscourts.gov/sites/njd/files/EPProcedures.pdf,Standing Order,Judge Gene E.K. Pratter,Federal,US,New Jersey,US DC Eastern District of Pennsylvania,Judge Level,"Criminal,Civil",Gen AI,Prepare,,Yes,,,,,,No,,,checked,,No,,,,,,Any Parties,,2023-10,US DC Eastern District of Pennsylvania,E.D. Pa.,Judge,Gene E.K. Pratter,Pratter
Notice to Attorneys and Self-Represented Litigants,https://www.moed.uscourts.gov/attorneys/artificial-intelligence,Court Rules (Notice),-,Federal,US,Missouri,US DC Eastern District of Missouri,Court Level,Civil,Gen AI,Draft,checked,No,,,,,,No,,,,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",Self-Represented Litigants Link: https://www.moed.uscourts.gov/self-represented-litigants-srl,2023-11,US DC Eastern District of Missouri,E.D. Mo.,,-,-
Standing Order for Civil Cases Before District Judge Araceli Martinez-Olguin,https://www.cand.uscourts.gov/wp-content/uploads/2023/03/AMO-Civil-Standing-Order-11.22.2023-FINAL.pdf,Standing Order,Judge Araceli Martinez-Olguin,Federal,US,California,US DC Northern District of California,Judge Level,Civil,Gen AI,Generate Content,,Yes,,,,,,No,,,checked,,FRCP 11,checked,,,,,Attorneys,,2023-11,US DC Northern District of California,N.D. Cal.,Judge,Araceli Martinez-Olguin,Martinez-Olguin
"Kelly v Altria Client Service, Pretrial Schedule A",https://drive.google.com/file/d/1gSBa0oAMTqltlEXIxkiOHpiv4ZsPrfwv/view,Scheduling Order,Judge Henry E. Hudson,Federal,US,Virginia,US DC Eastern District of Virginia,Case Level,Civil,Any AI,Prepare,,Yes,,,,,,No,,,checked,,No,,,,,,Any Parties,,2023-11,US DC Eastern District of Virginia,E.D. Va.,Judge,Henry E. Hudson,Hudson
General Pretrial and Trial Procedures,https://www.paed.uscourts.gov/sites/paed/files/documents/procedures/prapol2.pdf,Standing Order,Judge Evelyn Padin,Federal,US,New Jersey,US DC District of New Jersey,Judge Level,"Civil,Criminal",Gen AI,Use,,Yes,checked,,checked,,,No,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys",Must disclose AI tool used and portions drafted by it,2023-11,US DC District of New Jersey,D. N.J.,Judge,Evelyn Padin,Padin
Mandatory Certification Regarding Generative Artificial Intelligence,https://www.txnd.uscourts.gov/judge/judge-matthew-kacsmaryk,Standing Order,Judge Matthew J. Kacsmaryk,Federal,US,Texas,US DC Northern District of Texas,Judge Level,Civil,Gen AI,Draft,,No,,,,,checked,No,,,,,No,,,,,,"Pro Se Litigants,Attorneys",Can move for leave if party believes a platform has requisite accuracy and reliability for legal briefing,2023-11,US DC Northern District of Texas,N.D. Tex.,Judge,Matthew J. Kacsmaryk,Kacsmaryk
In Re: Use of Unverified Sources,https://www.hid.uscourts.gov/cms/assets/23a3ee72-c96c-42c4-b184-e8a748a00f64/General%20Order%20on%20the%20Use%20of%20Unverified%20Sources.pdf,Standing Order,Chief Judge Derrick K. Watson; Judge Michael Seabright; Judge Leslie E. Kobayashi; Judge Jill A. Otake,Federal,US,Hawaii,US DC District of Hawaii,Court Level,Civil,"Gen AI, excluding standard research tools",Generate Content,,Yes,,,,,,No,,,checked,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys","Use of AI generated content is ""Reliance on Unverified Sources""",2023-11,US DC District of Hawaii,D. Haw.,Chief Judge,Derrick K. Watson,Watson
Disclosure and Certification Requirements - Generative Artificial Intelligence,https://www.hid.uscourts.gov/cms/assets/95f11dcf-7411-42d2-9ac2-92b2424519f6/AI%20Guidelines%20LEK.pdf,Standing Order,Judge Leslie E. Kobayashi,Federal,US,Hawaii,US DC District of Hawaii,Judge Level,Civil,Gen AI,Draft,,Yes,checked,,,,,No,,,checked,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",Must disclose AI tool used,2023-11,US DC District of Hawaii,D. Haw.,Judge,Leslie E. Kobayashi,Kobayashi
Guidance on Professional Responsibility and Generative AI,https://www.lawsociety.bc.ca/Website/media/Shared/docs/practice/resources/Professional-responsibility-and-AI.pdf,Policy/Guidelines,Law Society of British Columbia,State,Canada,,,,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,,2023-11,,,,Law Society of British Columbia,Columbia
Standing Order Governing Civil Cases,https://www.ohsd.uscourts.gov/sites/ohsd/files/MJN%20Standing%20Civil%20Order%20eff.%2012.18.23.pdf,Standing Order,Judge Michael J. Newman,Federal,US,Ohio,US DC Southern District of Ohio,Judge Level,Civil,"Any AI, excluding standard research tools",Prepare,checked,No,,,,,,No,,,,,No,,,,,,"Pro Se Litigants,Attorneys",,2023-12,US DC Southern District of Ohio,S.D. Ohio,Judge,Michael J. Newman,Newman
Notice to the Parties and the Profession: The Use of Artificial Intelligence in Court Proceedings,https://www.fct-cf.gc.ca/Content/assets/pdf/base/2023-12-20-notice-use-of-ai-in-court-proceedings.pdf,Court Rules (Notice),Chief Justice Paul S. Crampton,Federal,Canada,-,Federal Court of Canada,National,N/A,Gen AI,"Generate Content,Create",,Yes,,,,,,No,,,,,No,,,,,,"Pro Se Litigants,Attorneys,Interveners","Court urgers ""Human in the loop"" verification",2023-12,Federal Court of Canada,Federal Court of Canada,Chief Justice,Paul S. Crampton,Crampton
Notice of Proposed Amendments to Local Rules,https://www.mied.uscourts.gov/PDFFIles/notice_proposed_LocalRules_amendments_12-2023.pdf,Proposed Rule Amendment,-,Federal,US,Michigan,US DC Eastern District of Michigan,Court Level,Civil,Gen AI,Draft,,Yes,,,,,,No,,,checked,,No,,,,,,Any Parties,LR 5.1 Filing of Papers,2023-12,US DC Eastern District of Michigan,E.D. Mich.,,-,-
Montez v Esparza Court Advisory Concerning Discovery and Other Matters,https://drive.google.com/file/d/12Rg4Bv6HS2v7L7PNh6SQ-QZvMXKHMVsZ/view,Court Order,Judge Fred Biery,Federal,US,Texas,US DC Western District of Texas,Case Level,Civil,Any AI,Prepare,,No,,,,,,No,,,,checked,No,,,,,,Attorneys,,2023-12,US DC Western District of Texas,W.D. Tex.,Judge,Fred Biery,Biery
General Order Amending Local Rules,https://txed.uscourts.gov/sites/default/files/goFiles/GO%2023-11%20Amending%20Local%20Rules%20Effective%20December%201%2C%202023.pdf,Local Rule Amendment,Chief Judge Rodney Gilstrap,Federal,US,Texas,US DC Eastern District of Texas,Court Level,Civil,Gen AI,Generate Content,,No,,,,,,No,,,,checked,FRCP 11,,,,,,"Pro Se Litigants,Attorneys","Rule CV-11 for Pro Se Litigants, Rule AT-3(m) for Attorneys",2023-12,US DC Eastern District of Texas,E.D. Tex.,Chief Judge,Rodney Gilstrap,Gilstrap
Guidelines for Use of Generative Artificial Intelligence in Courts and Tribunals: Lawyers,https://www.courtsofnz.govt.nz/assets/6-Going-to-Court/practice-directions/practice-guidelines/all-benches/20231207-GenAI-Guidelines-Lawyers.pdf,Guidelines,Artificial Intelligence Advisory Group,Federal,New Zealand,-,Courts of New Zealand,National,N/A,Gen AI,Use,,Court may require at discretion,,,,,,No,,,,checked,No,,checked,,,,Attorneys,"Guidance on AI use by lawyers (confidentiality, accuracy, ethics, disclosure)",2023-12,Courts of New Zealand,Courts of New Zealand,,Artificial Intelligence Advisory Group,Group
Standing Order Governing Criminal Cases,https://www.ohsd.uscourts.gov/sites/ohsd/files//MJN%20Standing%20Criminal%20Order%208.19.2024.pdf,Standing Order,Judge Michael J. Newman,Federal,US,Ohio,US DC Southern District of Ohio,Judge Level,Criminal,"Any AI, excluding standard research tools",Prepare,checked,No,,,,,,No,,,,,No,,,,,,"Pro Se Litigants,Attorneys",,2023-12,US DC Southern District of Ohio,S.D. Ohio,Judge,Michael J. Newman,Newman
Artificial Intelligence (AI),https://www.ilnd.uscourts.gov/judge-info.aspx?Bt1LmR2QgBbCj2VD6w9tXA==,Standing Order,Judge Iain D. Johnston,Federal,US,Illinois,US DC Northern District of Illinois,Judge Level,Civil,Any AI,Use,,No,,,,,,No,,,,checked,"FRCP 11,FRCP 26(g)",,,,,,Any Parties,,2023-12,US DC Northern District of Illinois,N.D. Ill.,Judge,Iain D. Johnston,Johnston
Court's Standing Order on the Use of Generative AI,https://www.ohnd.uscourts.gov/sites/ohnd/files/Boyko.StandingOrder.GenerativeAI.pdf,Standing Order,Judge Christopher A. Boyko,Federal,US,Ohio,US DC Northern District of Ohio,Judge Level,"Civil,Criminal","Any AI, excluding standard research tools",Prepare,checked,No,,,,,,No,,,,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys","Order is titled using ""Generative AI"" but order only refers to ""Artificial Intelligence""/""AI"" and excludes standard legal search engines. Duty to immediately notify the Court if a party discovers use of AI in any document filed.",2023-12,US DC Northern District of Ohio,N.D. Ohio,Judge,Christopher A. Boyko,Boyko
"Juvenile Local Rule 1.4, Use of Technology (effective 12/1/2023)",https://www.williamscountyoh.gov/DocumentCenter/View/2744/Juvenile-Local-Rule-14-Use-of-Technology-effective-1212023?bidId=,Local Rules,Judge Jeffrey A. Strausbaugh; Judge Melissa Peper Firestone; Judge Karen K. Gallagher,State,US,Ohio,"Court of Common Pleas, Juvenile Division: Defiance, Williams, and Henry Countries, Ohio",Court Level,Civil,Any AI,Use,,Yes,,checked,,checked,,No,,,,,No,,,,,,"Any Parties,Attorneys",,2023-12,"Court of Common Pleas, Juvenile Division: Defiance, Williams, and Henry Countries, Ohio","Court of Common Pleas, Juvenile Division: Defiance, Williams, and Henry Countries, Ohio",Judge,Jeffrey A. Strausbaugh,Strausbaugh
"Probate Local Rule 80, Use of Technology (effective 12/1/2023) copy",https://www.williamscountyoh.gov/DocumentCenter/View/2745/Probate-Local-Rule-80-Use-of-Technology-effective-1212023?bidId=,Local Rules,Judge Jeffrey A. Strausbaugh; Judge Michael J. Bumb; Judge Amy C. Rosebrook; Judge Karen K. Gallagher,State,US,Ohio,"Court of Common Pleas, Probate Division: Defiance, Williams, and Henry Countries, Ohio",Court Level,Civil,Any AI,Use,,Yes,,checked,,checked,,No,,,,,No,,,,,,"Any Parties,Attorneys",,2023-12,"Court of Common Pleas, Probate Division: Defiance, Williams, and Henry Countries, Ohio","Court of Common Pleas, Probate Division: Defiance, Williams, and Henry Countries, Ohio",Judge,Jeffrey A. Strausbaugh,Strausbaugh
Part Rules,https://www.nycourts.gov/LegacyPDFS/courts/9jd/PartRules/PR_HMBlackwood.pdf,Standing Order,Judge Helen M. Blackwood,State,US,New York,"Westchester County Court, 9th Judicial District",Judge Level,Civil,Any AI,Generate Content,,Yes,,,checked,,,No,,,,,No,,,,,,"Pro Se Litigants,Attorneys",,2023-12,"Westchester County Court, 9th Judicial District","Westchester County Court, 9th Judicial District",Judge,Helen M. Blackwood,Blackwood
JCAI In. v Wiseleap Solutions Rule 16(b) Scheduling Order,https://drive.google.com/file/d/1FQ-kc8ez47uXZviuhEDsAdZNiFUfqaek/view,Scheduling Order,Judge Roderick C. Young,Federal,US,Virginia,US DC Eastern District of Virginia,Case Level,Civil,Any AI,Prepare,,Yes,,checked,,,,No,,,checked,,No,,,,,,Any Parties,,2024-01,US DC Eastern District of Virginia,E.D. Va.,Judge,Roderick C. Young,Young
Bexar County Civil District Courts Local Rules,https://www.bexar.org/DocumentCenter/View/40208/Bexar-County-Civil-District-Court-Local-Rules-2024,Local Rules,-,State,US,Texas,Bexar County Civil District Court,Court Level,Civil,Gen AI,Draft,,No,,,,,,Yes,,,,,No,,,,,,Attorneys,"AI requirement on p.11, Local Rule 3 H.1.",2024-01,Bexar County Civil District Court,Bexar County Civil District Court,,-,-
"Dialect, LLC v Amazon.com, Inc. Scheduling and Pretrial Order",https://drive.google.com/file/d/1gS_VPeEGcMwCMLfBz6q8x7vwPABAEO5s/view?usp=drive_link,Pretrial Order,Judge David J. Novak,Federal,US,Virginia,US DC Eastern District of Virginia,Case Level,Civil,Any AI,Prepare,,Yes,,checked,,,,No,,,checked,,No,,,,,,Any Parties,,2024-01,US DC Eastern District of Virginia,E.D. Va.,Judge,David J. Novak,Novak
Standing Order for Civil Cases,https://drive.google.com/file/d/1vjhGwUZiFBq48cY2uGCBSxQBIp-BDqYF/view?usp=sharing,Standing Order,Judge S. Kato Crews,Federal,US,Colorado,US DC District of Colorado,Judge Level,Civil,Gen AI,Draft,,No,,,,,,Yes,,,,,No,,,,,,All Filers,Specifies that every motion filed under FRCP 12 and 56 and any opposed motion must contain the certification regarding Use or Non-Use,2024-01,US DC District of Colorado,D. Colo.,Judge,S. Kato Crews,Crews
Notice of Proposed Amendment to 5th CIR. R. 23,https://fingfx.thomsonreuters.com/gfx/legaldocs/mopajaxmava/11222023ai_5th.pdf,Proposed Rule Amendment,-,Federal,US,"Louisiana,Mississippi,Texas",US Court of Appeals Fifth Circuit,Court Level,"Civil,Criminal",Gen AI,Draft,,No,,,,,,Yes,,,,,No,,,,,,"Pro Se Litigants,Attorneys",AI requirement is one part of a Certificate of Compliance that must accompany all filings,2024-01,US Court of Appeals Fifth Circuit,Fifth Cir.,,-,-
Notice to the Bar: Legal Practice: Preliminary Guidelines on the Use of Artificial Intelligence by New Jersey Lawyers,https://www.njcourts.gov/sites/default/files/notices/2024/01/n240125a.pdf,Guidelines,Chief Justice Stuart Rabner,State,US,New Jersey,New Jersey Supreme Court,State Level,"Civil,Criminal",Gen AI,Generate Content,,No,,,,,,No,,,checked,checked,No,,,,,,Attorneys,Guidance on how New Jersey's existing RPCs apply to ethical use of AI,2024-01,New Jersey Supreme Court,New Jersey Supreme Court,Chief Justice,Stuart Rabner,Rabner
"Beckford v Elevance Health, Inc. Initial Pretrial Order",https://drive.google.com/file/d/14qini06Q_wv-vFdPr95211hfk_L9NvL3/view,Pretrial Order,Judge M. Hannah Lauck,Federal,US,Virginia,US DC Eastern District of Virginia,Case Level,Civil,Any AI,Prepare,,Yes,,checked,,,,No,,,checked,,No,,,,,,Any Parties,,2024-01,US DC Eastern District of Virginia,E.D. Va.,Judge,M. Hannah Lauck,Lauck
"Considerations when using ChatGPT and generative artificial intelligence
software based on large language models",https://www.barcouncilethics.co.uk/wp-content/uploads/2024/01/Considerations-when-using-ChatGPT-and-Generative-AI-Software-based-on-large-language-models-January-2024.pdf,Guidelines,General Council of the Bar,Federal,UK,-,-,National,N/A,Gen AI,Use,,No,,,,,,No,,,checked,checked,No,,checked,,,,Attorneys,,2024-01,-,,,General Council of the Bar,Bar
Dept. C31 Standing Order RE: Artificial Intelligence,https://www.occourts.org/system/files?file=civil/knillprocedures.pdf,Standing Order,Judge Kimberly A. Knill,State,US,California,Orange County Superior Court,Judge Level,Civil,Gen AI,Prepare,,Yes,,,,,,,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys",,2024-01,Orange County Superior Court,Orange County Superior Court,Judge,Kimberly A. Knill,Knill
Civil Procedures/Local Rules: 8. Initial Pretrial and Scheduling Conferences C. Mandatory Certificate Regarding Generative Artificial Intelligence,https://www.txs.uscourts.gov/sites/txs/files/Judge_Olvera_Local_Rules_%28Civil%29_1-18-24_-_Amended.pdf,Pretrial Order,Judge Rolando Olvera,Federal,US,Texas,US DC Southern District of Texas,Judge Level,Civil,Gen AI,Draft,,No,,,,,,"Yes, on filing of scheduling order",,,,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",,2024-01,US DC Southern District of Texas,S.D. Tex.,Judge,Rolando Olvera,Olvera
Rules of Court Integrated Domestic Violence Court,https://www.nycourts.gov/legacyPDFS/COURTS/1jd/supctmanh/Rules/IDV-tandra-dawson.pdf,Standing Order,Judge Tandra L. Dawson,State,US,New York,"Supreme Court, New York County, Criminal Division",Judge Level,"Civil,Criminal",Any AI,Prepare,,Yes,,,,,,,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys","""If AI is used to prepare any document submitted for filing with the court that involves substantive legal research and writing (such as a legal memorandum, summation, etc.),""",2024-01,"Supreme Court, New York County, Criminal Division","Supreme Court, New York County, Criminal Division",Judge,Tandra L. Dawson,Dawson
The Generative AI Playbook,https://www.lawsociety.ab.ca/resource-centre/key-resources/professional-conduct/the-generative-ai-playbook/,Policy/Guidelines,Law Society of Alberta,State,Canada,,,,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,,2024-01,,,,Law Society of Alberta,Alberta
