state,court,ai_type,applies_to,source,rg_applicable_to,consequence,date,id,judge,link,name,req_certify_all,req_certify_if_ai,req_disclose,req_evidence,req_how,req_prohibited,req_prompts,req_proprietary,req_rules,req_sections,req_tool,req_verify,req_warning,summary,type
Yukon,Supreme Court of Yukon,Any AI,Any Parties,rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2023-06,10,Chief Justice Suzanne M. Duncan,https://www.yukoncourts.ca/sites/default/files/2023-06/GENERAL-29%20Use%20of%20AI.pdf,Practice Direction General-29: Use of Artificial Intelligence Tools,,,Yes,,checked,,,,,,checked,,,,Practice Direction
Illinois,N.D. Ill.,Any AI,Any Parties,both,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-07,11,Magistrate Judge Jeffrey Cole,https://www.ilnd.uscourts.gov/_assets/_documents/_forms/_judges/Cole/Artificial%20Intelligence%20standing%20order.pdf,The Use of Artificial Intelligence in the Preparation of Documents Filed Before the Court,,,Yes,,,,,,FRCP 11,,,,,"This standing order refers generally to “artificial intelligence” and “AI,” requiring disclosure of the use of any “AI tool” for “research and/or drafting.” The order appears to imply that this disclosure should be in the form of a certification, as it says that “a certification on a filing will be deemed as a representation” that the filer has verified all cited legal authorities in a given document.",Standing Order
Oklahoma,Bankr. W.D. Okla.,Gen AI,Any Parties,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2023-07,12,Chief Judge Sarah A. Hall; Judge Janice D. Loyd,https://www.okwb.uscourts.gov/sites/okwb/files/GenOrder23-01.pdf,Pleadings Using Generative Artificial Intelligence,,checked,Yes,,,,,checked,FRBP 9011,checked,checked,,,,Administrative Order
New York,S.D.N.Y.,Gen AI,Attorneys,both,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-07,13,Judge Arun Subramanian,https://www.nysd.uscourts.gov/sites/default/files/practice_documents/AS%20Subramanian%20Civil%20Individual%20Practices.pdf,Individual Practices in Civil Cases,,,,,,,,,,,,,checked,"This standing order does not use the phrase “artificial intelligence” but explicitly refers to generative AI programs by cautioning counsel about the use of “ChatGPT or other such tools,” reminding lawyers of the need to check the accuracy of output. It does not impose any limitations on the use of such tools.",Standing Order
Idaho,Office of Administrative Hearings,Gen AI,"Court Staff,Judges",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-07,14,Chief Administrative Hearing Officer Bryan Nickels,https://oah.idaho.gov/wp-content/uploads/2024/03/Policies-Manual-12.31.23.pdf,OAH Policy 23-12,,,Yes,,,,,,,,,,,,Administrative Order
California,N.D. Cal.,"Gen AI, excluding standard research tools","Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-07,15,Magistrate Judge Peter H. Kang,https://www.cand.uscourts.gov/wp-content/uploads/judges/kang-phk/Civil-Standing-Order-PHK-001.pdf,Standing Order for Civil Cases Before Magistrate Judge Peter H. Kang,,,Yes,,,,checked,checked,FRCP 11,checked,,,,,Standing Order
Illinois,Ill. Human Rights Comm.,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-08,16,Chief Judge Brian Weinthal,https://hrc.illinois.gov/content/dam/soi/en/web/hrc/documents/standing-order-for-all-cases-filed-before-the-als.pdf,Standing Order For All Cases Filed Before the Administrative Law Section,,,,,,,,,,,,,checked,,Standing Order
Arizona,D. Ariz.,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2023-09,17,Judge James A. Soto,https://dockets.justia.com/docket/arizona/azdce/4:2023cv00327/1341070,"Cowan v Board of Immigration Appeals, et al. AI Order",,checked,Yes,,,,,,,checked,checked,,,,Administrative Order
Oklahoma,E.D. Okla.,Gen AI,"Attorneys,Pro Se Litigants",both,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2023-09,18,Magistrate Judge Jason A. Robertson,https://www.oked.uscourts.gov/sites/oked/files/AI%20Guidelines%20JAR%209.27.23.pdf,Disclosure and Certification Requirements for Generative Artificial Intelligence,,checked,Yes,,,,,,FRCP 11,,checked,,,"This standing order applies to the use of generative AI for “preparation of any documents” and requires disclosure of “the specific AI tool” used, and certification that output drafted by GenAI tools was checked for accuracy. The title and primary portion of the order specify that the order applies only to “generative artificial intelligence.” The use of the phrase “preparation” (as opposed to “filing” or “drafting”) could indicate disclosure and verification are required when generative AI tools are used in any part of the preparatory process, including research.",Standing Order
Oklahoma,W.D. Okla.,Gen AI,"Attorneys,Pro Se Litigants",both,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2023-09,19,Judge Scott Palk,https://www.okwd.uscourts.gov/sites/okwd/files/AI_Guidelines_JudgePalk.pdf,Disclosure and Certification Requirements - Generative Artificial Intelligence,,checked,Yes,,,,,,FRCP 11,,checked,,,"This standing order applies to the use of generative AI for “preparation of any documents” and requires disclosure of “the specific AI tool” used, and certification that output drafted by GenAI tools was checked for accuracy. The title and primary portion of the order specify that the order applies only to “generative artificial intelligence.” The use of the phrase “preparation” (as opposed to “filing” or “drafting”) could indicate disclosure and verification are required when GenAI tools are used in any part of the preparatory process, including research.",Standing Order
New Jersey,E.D. Pa.,Gen AI,Any Parties,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-10,20,Judge Gene E.K. Pratter,https://www.njd.uscourts.gov/sites/njd/files/EPProcedures.pdf,General Pretrial and Trial Procedures,,checked,Yes,,,,,,,,,,,,Standing Order
Missouri,E.D. Mo.,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-11,21,,https://www.moed.uscourts.gov/attorneys/artificial-intelligence,Notice to Attorneys and Self-Represented Litigants,,,,,,checked,,,FRCP 11,,,,,,Local Rules
California,N.D. Cal.,Gen AI,Attorneys,both,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-11,22,Judge Araceli Martinez-Olguin,https://www.cand.uscourts.gov/wp-content/uploads/2023/03/AMO-Civil-Standing-Order-11.22.2023-FINAL.pdf,Standing Order for Civil Cases Before District Judge Araceli Martinez-Olguin,,checked,Yes,,,,checked,,FRCP 11,,,,,"This standing order requires lawyers to confirm the accuracy of content generated by “ChatGPT or other such tools,” and any submissions “containing AI-generated content” must include certification that ""lead trial counsel"" has ""personally verified the content’s accuracy."" The order also holds counsel responsible for “maintaining records of all prompts or inquiries submitted to any generative AI tools” in the event that those records become relevant.",Standing Order
Virginia,E.D. Va.,Any AI,Any Parties,rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-11,23,Judge Henry E. Hudson,https://drive.google.com/file/d/1gSBa0oAMTqltlEXIxkiOHpiv4ZsPrfwv/view,"Kelly v Altria Client Service, Pretrial Schedule A",,checked,Yes,,,,,,,,,,,,Standing Order
New Jersey,D.N.J.,Gen AI,"Attorneys,Pro Se Litigants",both,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2023-11,24,Judge Evelyn Padin,https://www.paed.uscourts.gov/sites/paed/files/documents/procedures/prapol2.pdf,General Pretrial and Trial Procedures,,checked,Yes,,,,,,,checked,checked,,,"This standing order, which refers specifically to filings drafted using generative AI, requires parties to ""identif[y] the [GenAI] program"" and the ""portion of the filing drafted by [GenAI],"" and to certify that the work product was ""diligently reviewed by a human"" for accuracy and applicability.",Standing Order
Texas,N.D. Tex.,Gen AI,"Attorneys,Pro Se Litigants",both,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-11,25,Judge Matthew J. Kacsmaryk,https://www.txnd.uscourts.gov/judge/judge-matthew-kacsmaryk,Mandatory Certification Regarding Generative Artificial Intelligence,,,,,,,,,,,,,,"This standing order requires all parties, whether or not they use generative AI, to file a certification attesting either that no filings will be drafted with GenAI, or that any content drafted with GenAI will be checked for accuracy.",Standing Order
Hawaii,D. Haw.,"Gen AI, excluding standard research tools","Attorneys,Pro Se Litigants",both,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-11,26,Chief Judge Derrick K. Watson; Judge Michael Seabright; Judge Leslie E. Kobayashi; Judge Jill A. Otake,https://www.hid.uscourts.gov/cms/assets/23a3ee72-c96c-42c4-b184-e8a748a00f64/General%20Order%20on%20the%20Use%20of%20Unverified%20Sources.pdf,In Re: Use of Unverified Sources,,checked,Yes,,,,,,FRCP 11,,,,,"This general standing order, adopted by several District of Hawaii judges, requires that if any lawyer or pro se litigant submits a filing “generated by an unverified source,” that they must both disclose such reliance, and verify that “any such material is not fictitious.”  The order further clarifies that it does not apply to “basic research tools” such as Westlaw, Lexis, or Bloomberg, and that no declaration is required “if all sources can be located on such well-accepted basic research tools.”  The order’s preamble indicates that it applies to more than just AI, as the phrase “unverified sources” is used as a catch-all for both content “generated by artificial intelligence (AI) platforms”—citing ChatGPT and Google Bard as examples—as well as content “drafted by persons compensated to produce materials not tailored to specific cases.”",Standing Order
Hawaii,D. Haw.,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2023-11,27,Judge Leslie E. Kobayashi,https://www.hid.uscourts.gov/cms/assets/95f11dcf-7411-42d2-9ac2-92b2424519f6/AI%20Guidelines%20LEK.pdf,Disclosure and Certification Requirements - Generative Artificial Intelligence,,checked,Yes,,,,,,FRCP 11,,checked,,,,Standing Order
,,Gen AI,Attorneys,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-11,28,Law Society of British Columbia,https://www.lawsociety.bc.ca/Website/media/Shared/docs/practice/resources/Professional-responsibility-and-AI.pdf,Guidance on Professional Responsibility and Generative AI,,,,,,,,,,,,,checked,,Administrative Order
Ohio,S.D. Ohio,"Gen AI, excluding standard research tools","Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-12,29,Judge Michael J. Newman,https://www.ohsd.uscourts.gov/sites/ohsd/files//MJN%20Standing%20Civil%20Order%208.27.25.pdf,Standing Order Governing Civil Cases,,,,,,checked,,,,,,,,,Standing Order
,Federal Court of Canada,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-12,30,Chief Justice Paul S. Crampton,https://www.fct-cf.gc.ca/Content/assets/pdf/base/2023-12-20-notice-use-of-ai-in-court-proceedings.pdf,Notice to the Parties and the Profession: The Use of Artificial Intelligence in Court Proceedings,,,Yes,,,,,,,,,,,,Local Rules
Michigan,E.D. Mich.,Gen AI,Any Parties,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-12,31,,https://www.mied.uscourts.gov/PDFFIles/notice_proposed_LocalRules_amendments_12-2023.pdf,Notice of Proposed Amendments to Local Rules,,checked,Yes,,,,,,,,,,,,Local Rules
Texas,W.D. Tex.,Any AI,Attorneys,rails,Any AI Usage|Applies to AI Used for Filings/Drafting,,2023-12,32,Judge Fred Biery,https://drive.google.com/file/d/12Rg4Bv6HS2v7L7PNh6SQ-QZvMXKHMVsZ/view,Montez v Esparza Court Advisory Concerning Discovery and Other Matters,,,,,,,,,,,,,checked,,Administrative Order
Texas,E.D. Tex.,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-12,33,Chief Judge Rodney Gilstrap,https://txed.uscourts.gov/sites/default/files/goFiles/GO%2023-11%20Amending%20Local%20Rules%20Effective%20December%201%2C%202023.pdf,General Order Amending Local Rules,,,,,,,,,FRCP 11,,,,checked,,Local Rules
,Courts of New Zealand,Gen AI,Attorneys,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-12,34,Artificial Intelligence Advisory Group,https://www.courtsofnz.govt.nz/assets/6-Going-to-Court/practice-directions/practice-guidelines/all-benches/20231207-GenAI-Guidelines-Lawyers.pdf,Guidelines for Use of Generative Artificial Intelligence in Courts and Tribunals: Lawyers,,,,,,,,checked,,,,,checked,,Administrative Order
Ohio,S.D. Ohio,"Gen AI, excluding standard research tools","Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-12,35,Judge Michael J. Newman,https://www.ohsd.uscourts.gov/sites/ohsd/files//MJN%20Standing%20Criminal%20Order%208.27.2025.pdf,Standing Order Governing Criminal Cases,,,,,,checked,,,,,,,,,Standing Order
Illinois,N.D. Ill.,Any AI,Any Parties,both,Any AI Usage|Applies to AI Used for Filings/Drafting,,2023-12,36,Judge Iain D. Johnston,https://www.ilnd.uscourts.gov/judge-info.aspx?Bt1LmR2QgBbCj2VD6w9tXA==,Artificial Intelligence (AI),,,,,,,,,"FRCP 11,FRCP 26(g)",,,,checked,"This standing order applies to AI generally, and reminds both lawyers and pro se litigants to comply with Federal Rules of Civil Procedure 11(b) and 26(g), and any other relevant rules, when using AI “in connection with the filing of a pleading, motion, or paper in this Court or the serving/delivering of a request, response, or objection to discovery.”  There are no prohibitions, disclosure requirements, or other limitations on the use of AI.",Standing Order
Ohio,N.D. Ohio,"Gen AI, excluding standard research tools","Attorneys,Pro Se Litigants",both,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2023-12,37,Judge Christopher A. Boyko,https://www.ohnd.uscourts.gov/sites/ohnd/files/Boyko.StandingOrder.GenerativeAI.pdf,Court's Standing Order on the Use of Generative AI,,,,,,checked,,,FRCP 11,,,,,"The standing order prohibits the use of AI in the preparation of any filing, but specifically exempts legal and internet search engines such as Westlaw and Google. The title of the order, “Court’s Standing Order on the Use of Generative AI,” suggests the order is limited to generative AI, but the text of the order makes no such limitation. The use of the phrase “preparation” could indicate the order also prohibits  the use of AI tools in any part of the preparatory process, including research.",Standing Order
Ohio,"Ct. Common Pleas, Juv. Div., Ohio",Any AI,"Attorneys,Any Parties",rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-12,38,Judge Jeffrey A. Strausbaugh; Judge Melissa Peper Firestone; Judge Karen K. Gallagher,https://www.ropesgray.com/en/sites/artificial-intelligence-court-order-tracker/states/ohio,"Juvenile Local Rule 1.4, Use of Technology (effective 12/1/2023)",,,Yes,,checked,,,,,,,checked,,,Local Rules
Ohio,"Ct. Common Pleas, Probate Div., Ohio",Any AI,"Attorneys,Any Parties",rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-12,39,Judge Jeffrey A. Strausbaugh; Judge Michael J. Bumb; Judge Amy C. Rosebrook; Judge Karen K. Gallagher,https://www.ropesgray.com/en/sites/artificial-intelligence-court-order-tracker/states/ohio,"Probate Local Rule 80, Use of Technology (effective 12/1/2023) copy",,,Yes,,checked,,,,,,,checked,,,Local Rules
New York,"N.Y. Cnty. Ct., Westchester Cnty.",Any AI,"Attorneys,Pro Se Litigants",rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2023-12,40,Judge Helen M. Blackwood,https://www.ropesgray.com/en/sites/artificial-intelligence-court-order-tracker/states/new-york,Part Rules,,,Yes,,,,,,,checked,,,,,Standing Order
Virginia,E.D. Va.,Any AI,Any Parties,both,Any AI Usage|Requires Disclosure and/or Verification|Applies to AI Used for Research|Applies to AI Used for Filings/Drafting,,2024-01,41,Judge Roderick C. Young,https://drive.google.com/file/d/1FQ-kc8ez47uXZviuhEDsAdZNiFUfqaek/view,JCAI In. v Wiseleap Solutions Rule 16(b) Scheduling Order,,checked,Yes,,checked,,,,,,,,,"Judge Young issued a Scheduling Order in Jcai v. Wiseleap Solutions, Case No. 3:23-cv-350, Dkt. No. 32, which includes a paragraph addressing the “Use of Artificial Intelligence.” The instruction states: “Should any party utilize artificial intelligence for the preparation of any filing, they must identify the use of the artificial intelligence in the filing and provide a certification that they have reviewed all citations for accuracy.” The use of the phrase “preparation” (as opposed to “drafting”) could indicate disclosure and verification are required when any AI tools are used in any part of the preparatory process, including research.",Standing Order
Texas,Bexar Cnty. Civ. Dist. Ct.,Gen AI,Attorneys,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-01,42,,https://www.bexar.org/DocumentCenter/View/40208/Bexar-County-Civil-District-Court-Local-Rules-2024,Bexar County Civil District Courts Local Rules,Yes,,,,,,,,,,,,,,Local Rules
Virginia,E.D. Va.,Any AI,Any Parties,both,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-01,43,Judge David J. Novak,https://drive.google.com/file/d/1gS_VPeEGcMwCMLfBz6q8x7vwPABAEO5s/view?usp=drive_link,"Dialect, LLC v Amazon.com, Inc. Scheduling and Pretrial Order",,checked,Yes,,checked,,,,,,,,,"Judge Novak has been issuing scheduling orders, such as the one found in Dialect, LLC v. Amazon.com, Inc., Case No. 1:23-cv-00581, Dkt. No. 147, which includes a paragraph addressing the “Use of Artificial Intelligence.” The instruction states: “Should any party utilize artificial intelligence for the preparation of any filing, they must identify the use of the artificial intelligence in the filing and provide a certification that they have reviewed all citations for accuracy.” The use of the phrase “preparation” (as opposed to “drafting”) could indicate disclosure and verification are required when any AI tools are used in any part of the preparatory process, including research.",Standing Order
Colorado,D. Colo.,Gen AI,Any Parties,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-01,44,Judge S. Kato Crews,https://drive.google.com/file/d/1vjhGwUZiFBq48cY2uGCBSxQBIp-BDqYF/view?usp=sharing,Standing Order for Civil Cases,Yes,,,,,,,,,,,,,,Standing Order
Federal,5th Cir.,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-01,45,,https://fingfx.thomsonreuters.com/gfx/legaldocs/mopajaxmava/11222023ai_5th.pdf,Notice of Proposed Amendment to 5th CIR. R. 23,Yes,,,,,,,,,,,,,,Local Rules
New Jersey,New Jersey Supreme Court,Gen AI,Attorneys,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-01,46,Chief Justice Stuart Rabner,https://www.njcourts.gov/sites/default/files/notices/2024/01/n240125a.pdf,Notice to the Bar: Legal Practice: Preliminary Guidelines on the Use of Artificial Intelligence by New Jersey Lawyers,,checked,,,,,,,,,,,checked,,Administrative Order
Virginia,E.D. Va.,Any AI,Any Parties,both,Any AI Usage|Requires Disclosure and/or Verification|Applies to AI Used for Research|Applies to AI Used for Filings/Drafting,,2024-01,47,Judge M. Hannah Lauck,https://drive.google.com/file/d/14qini06Q_wv-vFdPr95211hfk_L9NvL3/view,"Beckford v Elevance Health, Inc. Initial Pretrial Order",,checked,Yes,,checked,,,,,,,,,"Judge Lauck has been issuing pretrial orders, such as the one found in Beckford v. Elevance Health, Inc., Case No. 3:23-cv-00828, Dkt. No. 19, which include a paragraph addressing the “Use of Artificial Intelligence.” The instruction states: “Should any party utilize artificial intelligence for the preparation of any filing, they must identify the use of the artificial intelligence in the filing and provide a certification that they have reviewed all citations for accuracy.” The use of the phrase “preparation” (as opposed to “drafting”) could indicate disclosure and verification are required when any AI tools are used in any part of the preparatory process, including research.",Judicial Opinion
,,Gen AI,Attorneys,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-01,48,General Council of the Bar,https://www.barcouncilethics.co.uk/wp-content/uploads/2024/01/Considerations-when-using-ChatGPT-and-Generative-AI-Software-based-on-large-language-models-January-2024.pdf,"Considerations when using ChatGPT and generative artificial intelligence
software based on large language models",,checked,,,,,,checked,,,,,checked,,Administrative Order
California,"Cal. Super. Ct., Orange Cnty.",Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-01,49,Judge Kimberly A. Knill,https://www.occourts.org/system/files?file=civil/knillprocedures.pdf,Dept. C31 Standing Order RE: Artificial Intelligence,,checked,Yes,,,,,,,,,,,,Standing Order
Texas,S.D. Tex.,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-01,50,Judge Rolando Olvera,https://www.txs.uscourts.gov/sites/txs/files/Judge_Olvera_Local_Rules_%28Civil%29_1-18-24_-_Amended.pdf,Civil Procedures/Local Rules: 8. Initial Pretrial and Scheduling Conferences C. Mandatory Certificate Regarding Generati,Yes,,,,,,,,FRCP 11,,,,,,Judicial Opinion
New York,"N.Y. Sup. Ct., New York Cnty., Crim. Div.",Any AI,"Attorneys,Pro Se Litigants",rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-01,51,Judge Tandra L. Dawson,https://www.ropesgray.com/en/sites/artificial-intelligence-court-order-tracker/states/new-york,Rules of Court Integrated Domestic Violence Court,,checked,Yes,,,,,,,,,,,,Standing Order
,,Gen AI,Attorneys,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-01,52,Law Society of Alberta,https://www.lawsociety.ab.ca/resource-centre/key-resources/professional-conduct/the-generative-ai-playbook/,The Generative AI Playbook,,,,,,,,,,,,,checked,,Administrative Order
,,Gen AI,Attorneys,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-01,53,Nova Scotia Barristers' Society,https://nsbs.org/wp-content/uploads/2023/12/short-guide-on-A.I.pdf,"""Artificial Intelligence in the Practice of Law
What is AI and can I or should I use it in my practice?""",,,,,,,,,,,,,checked,,Administrative Order
New Jersey,New Jersey Supreme Court,Any AI,Attorneys,rails,Any AI Usage|Applies to AI Used for Filings/Drafting,,2024-01,54,Chief Justice Stuart Rabner,https://www.njcourts.gov/sites/default/files/notices/2024/01/n240125a.pdf?cb=aac0e368,Notice – Legal Practice: Preliminary Guidelines on the Use of Artificial Intelligence by New Jersey Lawyers,,,,,,,,,,,,,checked,,Administrative Order
